date,eth_open,eth_high,eth_low,eth_close,eth_volume,btc_open,btc_high,btc_low,btc_close,btc_volume,tvl_total_usd,tvl_uniswap_usd,tvl_aave_usd,usdc,vixcls,dtwexbgs,fear_greed,fedfunds,gtrends_defi,gtrends_crypto_crash,gtrends_ethereum,eth_log_return,btc_log_return,tvl_log_return,eth_vol_30d,btc_vol_30d,tvl_vol_30d,tvl_drawdown,event_luna,event_ftx,event_svb,usdc_depeg,usdc_deviation,usdc_depeg_severity,fg_norm,gtrends_norm,sentiment_composite,sentiment_z,vix_change,dxy_log_return,ffr_change,event_day,event,tvl_indexed,eth_indexed
2022-04-09,3192.39,3268.4,3181.28,3258.57,212444.2566,42252.02,42800.0,42125.48,42753.97,17891.66047,151927995834,7646106144,13443700443.0,0.9998,,,30.0,0.33,12.0,0.0,55.0,0.0205185962614118,0.0118101299320372,-0.0176115869829496,0.5354864693301749,0.464088766385661,0.3409944542016763,-0.0673665601305884,1,0,0,0,-0.0001999999999999,0.0001999999999999,0.3,0.2233333333333333,0.2616666666666666,-0.6237898138606137,,,0.0,-30,LUNA collapse,120.59679896102695,146.21929057010163
2022-04-10,3258.57,3307.22,3193.0,3203.04,232303.2326,42753.96,43410.3,41868.0,42158.85,22771.09403,153468433976,7773161287,13672892402.0,0.9998,,,34.0,0.33,10.0,0.0,49.0,-0.0171880899954096,-0.0140174297468784,0.0100882070388446,0.5342050359297891,0.4622133879803441,0.3263358775297174,-0.0579103429574926,1,0,0,0,-0.0001999999999999,0.0001999999999999,0.34,0.1966666666666666,0.2683333333333333,-0.5696647771174851,,,0.0,-29,LUNA collapse,121.81956180932814,143.72753584169078
2022-04-11,3203.04,3213.63,2950.0,2979.74,693394.2912,42158.85,42414.71,39200.0,39530.45,63560.44721,151538338236,7683614069,13570686013.0,0.9999,24.37,116.5401,32.0,0.33,10.0,0.0,49.0,-0.0722643104524599,-0.0643733658182636,-0.012656253430804,0.6024030261194013,0.5182892844735608,0.3292356604697811,-0.0697585334071336,1,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,0.32,0.1966666666666666,0.2583333333333333,-0.6508523322321776,,,0.0,-28,LUNA collapse,120.28749810602861,133.70756770097145
2022-04-12,2979.75,3085.0,2950.0,3027.66,579522.9505,39530.45,40699.0,39254.63,40074.94,57751.01778,144289221672,7211679792,12840643663.0,0.9998,24.26,116.3866,20.0,0.33,10.0,0.0,49.0,0.0159539955450668,0.0136799402987624,-0.0490188814967365,0.5961805086229138,0.510442802102546,0.3774398466983067,-0.1142583537331032,1,0,0,0,-0.0001999999999999,0.0001999999999999,0.2,0.1966666666666666,0.1983333333333333,-1.1379776629203324,-0.1099999999999994,-0.0013180113934648,0.0,-27,LUNA collapse,114.53332325421952,135.85784478696908
2022-04-13,3027.65,3128.97,2996.86,3118.28,419101.494,40074.95,41561.31,39588.54,41147.79,41342.27254,146191016975,7313472923,13130819485.0,0.9999,21.82,116.2796,25.0,0.33,10.0,0.0,49.0,0.0294915238244127,0.0264190184253026,0.0130943329261382,0.5964683535612195,0.4900179768945725,0.3754644633925392,-0.1025838898818039,1,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,0.25,0.1966666666666666,0.2233333333333333,-0.9350087751336016,-2.4400000000000013,-0.0009197726832976,0.0,-26,LUNA collapse,116.04292274944032,139.924165937493
2022-04-14,3118.28,3145.0,2976.3,3021.98,408382.5572,41147.78,41500.0,39551.94,39942.38,36807.01401,148423215321,7437424655,13580285696.0,1.0,22.7,116.7558,28.0,0.33,10.0,0.0,49.0,-0.0313693220633271,-0.0297323041306666,0.015153653942758,0.610335908703973,0.5004516740897215,0.3747549715867813,-0.0888811959808362,1,0,0,0,0.0,0.0,0.28,0.1966666666666666,0.2383333333333333,-0.8132274424615628,0.879999999999999,0.0040869384036341,0.0,-25,LUNA collapse,117.81478825517522,135.6029705413834
2022-04-15,3021.98,3060.92,2993.13,3040.56,249626.2981,39942.37,40870.36,39766.4,40551.9,24026.35739,146106202324,7297972373,13210665605.0,0.9998,,116.7017,22.0,0.33,10.0,0.0,49.0,0.0061294632848087,0.0151447196010202,-0.0157339855215788,0.579553808314421,0.4766305035270501,0.38025163424804,-0.1031045377010503,1,0,0,0,-0.0001999999999999,0.0001999999999999,0.22,0.1966666666666666,0.2083333333333333,-1.05679010780564,,-0.0004634676630084,0.0,-24,LUNA collapse,115.97559891383354,136.43669650669716
2022-04-16,3040.57,3086.1,3010.03,3059.3,176352.4165,40551.9,40709.35,39991.55,40378.71,15805.44718,147131069653,7323110572,13337175281.0,0.9999,,,28.0,0.33,10.0,0.0,49.0,0.0061444226454431,-0.00427996933117,0.006990049355408,0.5784189685052493,0.4765765116313986,0.3655429159010736,-0.0968132314990031,1,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,0.28,0.1966666666666666,0.2383333333333333,-0.8132274424615628,,,0.0,-23,LUNA collapse,116.78911401721305,137.27760202822463
2022-04-17,3059.3,3083.0,2981.7,2988.06,243772.074,40378.7,40595.67,39546.17,39678.12,19988.49259,147654282027,7389090383,13433615126.0,0.9998,,,28.0,0.33,11.0,0.0,45.0,-0.0235617842349646,-0.0175027636042262,0.0035497891630963,0.5655639083051589,0.4740964918555769,0.365611793919229,-0.093601411626917,1,0,0,0,-0.0001999999999999,0.0001999999999999,0.28,0.1866666666666666,0.2333333333333333,-0.853821220018909,,,0.0,-22,LUNA collapse,117.20442744996669,134.0809046240829
2022-04-18,2988.07,3069.6,2883.22,3055.56,510251.6536,39678.11,41116.73,38536.51,40801.13,54243.49575,145166969370,7199679391,13218876261.0,0.9999,22.17,116.8441,24.0,0.33,11.0,0.0,45.0,0.0223385344904537,0.0279098748430257,-0.0169890161335126,0.5705629796264386,0.4835113003417647,0.3565343410270714,-0.1088701640816209,1,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,0.24,0.1866666666666666,0.2133333333333333,-1.016196330248294,,,0.0,-21,LUNA collapse,115.23005832331019,137.1097799017298
2022-04-19,3055.56,3131.0,3030.34,3101.77,359375.0038,40801.13,41760.0,40571.0,41493.18,35788.85843,148719712465,7328871569,13491165850.0,0.9997,21.37,117.1324,27.0,0.33,11.0,0.0,45.0,0.0150100344122713,0.0168192992773752,0.0241788171783138,0.5605613776366302,0.4810769295682291,0.3663880172985776,-0.0870611025227331,1,0,0,0,-0.0002999999999999,0.0002999999999999,0.27,0.1866666666666666,0.2283333333333333,-0.8944149975762553,-0.8000000000000007,0.0024643512994209,0.0,-20,LUNA collapse,118.0501405763271,139.18332548069372
2022-04-20,3101.74,3166.5,3036.45,3076.04,415000.0685,41493.19,42199.0,40820.0,41358.19,40877.35041,149693102211,7402222668,13659556993.0,0.9998,20.32,116.7306,27.0,0.33,11.0,0.0,45.0,-0.0083298608329563,-0.0032586092287824,0.0065238029361692,0.5612048534441695,0.4806745687805359,0.3631510200441707,-0.0810857994052123,1,0,0,0,-0.0001999999999999,0.0001999999999999,0.27,0.1866666666666666,0.2283333333333333,-0.8944149975762553,-1.0500000000000007,-0.0034362032074687,0.0,-19,LUNA collapse,118.82279400905816,138.02876309708105
2022-04-21,3076.03,3180.0,2942.31,2983.58,562699.697,41358.19,42976.0,39751.0,40480.01,59316.27657,149483617612,7373351665,13872667986.0,0.9999,22.68,117.1432,27.0,0.33,11.0,0.0,45.0,-0.0305191336950499,-0.021462195138858,-0.0014004073135079,0.5648036451832518,0.4717741093931624,0.3499113038074735,-0.0823717529326879,1,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,0.27,0.1866666666666666,0.2283333333333333,-0.8944149975762553,2.3599999999999994,0.0035284023097878,0.0,-18,LUNA collapse,118.65651015905175,133.87987705009982
2022-04-22,2983.57,3034.32,2930.35,2962.39,452433.082,40480.01,40795.06,39177.0,39709.18,46664.0196,146762416810,7120297341,13407859174.0,0.9999,28.21,118.0186,26.0,0.33,11.0,0.0,45.0,-0.0071275467947714,-0.0192258767952012,-0.0183717385136496,0.5596889482022402,0.4730198232230324,0.3532135764460037,-0.0990762638466449,1,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,0.26,0.1866666666666666,0.2233333333333333,-0.9350087751336016,5.530000000000001,0.0074451211344893,0.0,-17,LUNA collapse,116.49648623291542,132.92903457405038
2022-04-23,2962.39,2978.03,2913.89,2933.03,187576.7324,39709.19,39980.0,39285.0,39441.6,20291.42375,146144682521,7079532280,13272254151.0,0.9998,,,24.0,0.33,11.0,0.0,45.0,-0.0099603565921431,-0.0067612983566554,-0.0042179599351655,0.5530397694268936,0.4621711264307009,0.3513113779900152,-0.1028683210755498,1,0,0,0,-0.0001999999999999,0.0001999999999999,0.24,0.1866666666666666,0.2133333333333333,-1.016196330248294,,,0.0,-16,LUNA collapse,116.0061435712294,131.61158600883982
2022-04-24,2933.04,2967.06,2912.09,2921.0,218957.0222,39441.61,39940.0,38929.62,39450.13,26703.61186,145645454302,7051063380,13104700462.0,0.9998,,,24.0,0.33,10.0,0.0,43.0,-0.0041099949724494,0.0002162457340772,-0.0034218340040911,0.5530841038428109,0.4607232779741128,0.3498111073857113,-0.1059329105122101,1,0,0,0,-0.0001999999999999,0.0001999999999999,0.24,0.1766666666666666,0.2083333333333333,-1.0567901078056403,,,0.0,-15,LUNA collapse,115.60986818543286,131.07177312602363
2022-04-25,2920.99,3025.65,2797.01,3006.62,619198.3616,39450.12,40616.0,38200.0,40426.08,63037.12784,144673072859,7019441607,13241355728.0,0.9999,27.02,118.6271,23.0,0.33,10.0,0.0,43.0,0.0288905008160642,0.0244377786503293,-0.006698746295401,0.5609872571101653,0.4704393086936643,0.3497773356407664,-0.1119020240062178,1,0,0,0,-9.9999999999989e-05,9.9999999999989e-05,0.23,0.1766666666666666,0.2033333333333333,-1.0973838853629865,,,0.0,-14,LUNA collapse,114.83801511943814,134.91373314486995
2022-04-26,3006.63,3039.54,2767.0,2809.67,531184.3504,40426.08,40797.31,37702.26,38112.65,66650.258,147987530790,7166239627,13484359605.0,1.0,33.52,118.9624,27.0,0.33,10.0,0.0,43.0,-0.0677494854947828,-0.058928873224046,0.0226514919085051,0.5788732298915291,0.4676760231883486,0.356701245804278,-0.0915557126860285,1,0,0,0,0.0,0.0,0.27,0.1766666666666666,0.2233333333333333,-0.9350087751336016,6.500000000000004,0.0028225171785802,0.0,-13,LUNA collapse,117.46895232475958,126.07614816809136
2022-04-27,2809.68,2919.87,2794.46,2888.96,488951.2416,38112.64,39474.72,37881.31,39235.72,57083.12272,142223364997,6848195829,12775598752.0,1.0,31.6,119.4708,21.0,0.33,10.0,0.0,43.0,0.0278295370400392,0.029041308349954,-0.0397292041155278,0.5876691407238365,0.4822436457370563,0.3709699722533141,-0.1269399336256437,1,0,0,0,0.0,0.0,0.21,0.1766666666666666,0.1933333333333333,-1.178571440477679,-1.9200000000000017,0.0042645132513682,0.0,-12,LUNA collapse,112.89349577706724,129.63406699423393
2022-04-28,2888.95,2980.0,2853.83,2936.93,537392.9978,39235.72,40372.63,38881.43,39742.07,56086.6715,144375229726,6990092520,13052304970.0,1.0,29.99,120.0675,24.0,0.33,10.0,0.0,43.0,0.0164682423214692,0.0128227679696394,0.0150168577702314,0.5858814053457092,0.4847850594557519,0.373763393632612,-0.1137303800254388,1,0,0,0,0.0,0.0,0.24,0.1766666666666666,0.2083333333333333,-1.0567901078056403,-1.610000000000003,0.004982094589775,0.0,-11,LUNA collapse,114.60159438450283,131.7865876915483
2022-04-29,2936.92,2946.46,2776.63,2817.13,525978.147,39742.06,39925.25,38175.0,38596.11,51453.65715,144032693542,7027490775,12963820418.0,1.0001,33.4,119.4933,23.0,0.33,10.0,0.0,43.0,-0.0416461818741556,-0.0292588301525011,-0.0023753601577746,0.5997314207802025,0.4915765097567134,0.3679860907100387,-0.1158330912328762,1,0,0,0,9.9999999999989e-05,9.9999999999989e-05,0.23,0.1766666666666666,0.2033333333333333,-1.0973838853629865,3.41,-0.0047937817840733,0.0,-10,LUNA collapse,114.32969737768745,126.41089497655426
