,TVL return,ETH return,BTC return,ETH vol 30d,TVL drawdown,USDC de-peg,VIX,DXY,Fed rate,Sentiment,Fear & Greed
TVL return,1.0,0.1607,0.7939,0.2983,0.0,0.6063,0.0042,0.0004,0.0006,0.0,0.0
ETH return,0.1607,1.0,0.0,0.3199,0.3934,0.0,0.0066,0.2739,0.3014,0.0415,0.0218
BTC return,0.7939,0.0,1.0,0.2331,0.8838,0.0,0.0978,0.6582,0.978,0.2656,0.2066
ETH vol 30d,0.2983,0.3199,0.2331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TVL drawdown,0.0,0.3934,0.8838,0.0,1.0,0.0,0.0,0.0,0.0004,0.0,0.0
USDC de-peg,0.6063,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0012,0.0,0.0007
VIX,0.0042,0.0066,0.0978,0.0,0.0,0.0,1.0,0.0611,0.0,0.0,0.0
DXY,0.0004,0.2739,0.6582,0.0,0.0,0.0,0.0611,1.0,0.0,0.0,0.0
Fed rate,0.0006,0.3014,0.978,0.0,0.0004,0.0012,0.0,0.0,1.0,0.0,0.0
Sentiment,0.0,0.0415,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Fear & Greed,0.0,0.0218,0.2066,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,1.0
