Variable,N,Mean,Std dev,Min,Median,Max,Skewness,Kurtosis,JB p-value
ETH price (USD),2192,2162.471752,1177.343291,107.82,2076.705,4832.07,-0.0064,-0.7616,0.0
BTC price (USD),2192,47182.875406,31418.226011,4800.0,39732.625,124658.54,0.7309,-0.5154,0.0
Total DeFi TVL (USD),2192,73642585953.06615,47780734828.871666,407503260.0,73746151525.5,177488670948.0,0.2084,-0.9175,0.0
Uniswap TVL (USD),2192,4531705908.71396,2248889025.326693,26674978.0,4462739473.0,10240438297.0,-0.2335,0.1009,0.0
Aave TVL (USD),2052,11519066695.333334,9587396956.14499,54026260.0,9713166754.5,45808938227.0,1.4217,1.7511,0.0
USDC price (USD),2027,0.999802,0.001229,0.9592,0.9998,1.006,-18.8475,599.0147,0.0
ETH log-return (daily),2191,0.001426,0.044018,-0.590534,0.001402,0.23375,-1.1914,18.5851,0.0
BTC log-return (daily),2191,0.001141,0.032912,-0.502607,0.00056,0.178449,-1.6068,27.4193,0.0
TVL log-return (daily),2191,0.002388,0.029703,-0.359147,0.00224,0.164832,-1.1945,13.8905,0.0
ETH volatility 30d (ann.),2177,0.769901,0.342195,0.149775,0.721391,2.584544,2.2852,8.3752,0.0
TVL volatility 30d (ann.),2177,0.511741,0.220634,0.14279,0.468972,1.666708,1.9642,6.6283,0.0
TVL drawdown from peak,2192,-0.138847,0.14578,-0.695514,-0.099498,0.0,-1.4847,2.276,0.0
VIX index,1535,20.949798,7.871747,11.86,19.0,82.69,2.637,12.069,0.0
USD index (DXY),1499,119.582186,4.396085,110.5046,120.241,130.0413,-0.1016,-0.5871,0.0
Fed Funds Rate (%),2192,2.754503,2.21624,0.05,3.83,5.33,-0.1695,-1.7654,0.0
Fear & Greed Index,2191,49.963031,22.127567,6.0,50.0,95.0,-0.023,-1.071,0.0
Sentiment composite (0-1),2192,0.3385,0.123172,0.085,0.335,0.665,0.1393,-0.8988,0.0
