,TVL return,ETH return,BTC return,ETH vol 30d,TVL drawdown,USDC de-peg,VIX,DXY,Fed rate,Sentiment,Fear & Greed
TVL return,1.0,0.03,0.006,-0.022,0.206,-0.011,-0.073,-0.091,-0.073,0.199,0.229
ETH return,0.03,1.0,0.83,-0.021,0.018,-0.146,-0.069,-0.028,-0.022,0.044,0.049
BTC return,0.006,0.83,1.0,-0.026,0.003,-0.155,-0.042,-0.011,0.001,0.024,0.027
ETH vol 30d,-0.022,-0.021,-0.026,1.0,-0.425,-0.113,0.545,-0.22,-0.504,-0.312,-0.299
TVL drawdown,0.206,0.018,0.003,-0.425,1.0,-0.094,-0.421,-0.241,0.075,0.703,0.743
USDC de-peg,-0.011,-0.146,-0.155,-0.113,-0.094,1.0,-0.237,0.13,0.072,-0.102,-0.076
VIX,-0.073,-0.069,-0.042,0.545,-0.421,-0.237,1.0,0.048,-0.477,-0.409,-0.411
DXY,-0.091,-0.028,-0.011,-0.22,-0.241,0.13,0.048,1.0,0.663,-0.194,-0.153
Fed rate,-0.073,-0.022,0.001,-0.504,0.075,0.072,-0.477,0.663,1.0,0.154,0.158
Sentiment,0.199,0.044,0.024,-0.312,0.703,-0.102,-0.409,-0.194,0.154,1.0,0.949
Fear & Greed,0.229,0.049,0.027,-0.299,0.743,-0.076,-0.411,-0.153,0.158,0.949,1.0
