target,lag_days,direction,r_composite,p_composite,r_fear_greed,p_fear_greed,sig_composite
TVL return,-14,target leads,0.1587,0.0,0.1634,0.0,***
TVL return,-13,target leads,0.1563,0.0,0.1627,0.0,***
TVL return,-12,target leads,0.157,0.0,0.1634,0.0,***
TVL return,-11,target leads,0.1587,0.0,0.1693,0.0,***
TVL return,-10,target leads,0.1636,0.0,0.1741,0.0,***
TVL return,-9,target leads,0.1579,0.0,0.1676,0.0,***
TVL return,-8,target leads,0.1582,0.0,0.1702,0.0,***
TVL return,-7,target leads,0.175,0.0,0.1869,0.0,***
TVL return,-6,target leads,0.1832,0.0,0.1959,0.0,***
TVL return,-5,target leads,0.1799,0.0,0.196,0.0,***
TVL return,-4,target leads,0.1784,0.0,0.1966,0.0,***
TVL return,-3,target leads,0.1766,0.0,0.195,0.0,***
TVL return,-2,target leads,0.1874,0.0,0.2112,0.0,***
TVL return,-1,target leads,0.1909,0.0,0.2184,0.0,***
TVL return,0,contemporaneous,0.1994,0.0,0.2291,0.0,***
TVL return,1,sentiment leads,0.0877,0.0,0.1075,0.0,***
TVL return,2,sentiment leads,0.0788,0.0002,0.0959,0.0,***
TVL return,3,sentiment leads,0.0739,0.0005,0.09,0.0,***
TVL return,4,sentiment leads,0.0678,0.0015,0.0851,0.0001,***
TVL return,5,sentiment leads,0.0692,0.0012,0.0833,0.0001,***
TVL return,6,sentiment leads,0.0697,0.0011,0.0818,0.0001,***
TVL return,7,sentiment leads,0.064,0.0027,0.0795,0.0002,***
TVL return,8,sentiment leads,0.0593,0.0056,0.0718,0.0008,***
TVL return,9,sentiment leads,0.0642,0.0027,0.0802,0.0002,***
TVL return,10,sentiment leads,0.0578,0.0069,0.0732,0.0006,***
TVL return,11,sentiment leads,0.0479,0.0252,0.0628,0.0033,**
TVL return,12,sentiment leads,0.0538,0.0121,0.0686,0.0014,**
TVL return,13,sentiment leads,0.0637,0.0029,0.0796,0.0002,***
TVL return,14,sentiment leads,0.0567,0.0081,0.0733,0.0006,***
TVL level,-14,target leads,-0.1725,0.0,-0.1742,0.0,***
TVL level,-13,target leads,-0.1662,0.0,-0.1679,0.0,***
TVL level,-12,target leads,-0.1598,0.0,-0.1617,0.0,***
TVL level,-11,target leads,-0.1531,0.0,-0.1548,0.0,***
TVL level,-10,target leads,-0.146,0.0,-0.1476,0.0,***
TVL level,-9,target leads,-0.1386,0.0,-0.14,0.0,***
TVL level,-8,target leads,-0.1312,0.0,-0.1324,0.0,***
TVL level,-7,target leads,-0.1234,0.0,-0.1244,0.0,***
TVL level,-6,target leads,-0.1148,0.0,-0.1154,0.0,***
TVL level,-5,target leads,-0.1065,0.0,-0.1066,0.0,***
TVL level,-4,target leads,-0.0981,0.0,-0.0975,0.0,***
TVL level,-3,target leads,-0.0905,0.0,-0.0885,0.0,***
TVL level,-2,target leads,-0.0825,0.0001,-0.0786,0.0002,***
TVL level,-1,target leads,-0.0744,0.0005,-0.0685,0.0013,***
TVL level,0,contemporaneous,-0.0657,0.0021,-0.0579,0.0067,***
TVL level,1,sentiment leads,-0.0624,0.0035,-0.0539,0.0117,***
TVL level,2,sentiment leads,-0.0593,0.0055,-0.0501,0.019,***
TVL level,3,sentiment leads,-0.0561,0.0087,-0.0463,0.0305,***
TVL level,4,sentiment leads,-0.0531,0.0129,-0.0426,0.0466,**
TVL level,5,sentiment leads,-0.05,0.0194,-0.0388,0.0697,**
TVL level,6,sentiment leads,-0.0467,0.0291,-0.035,0.1021,**
TVL level,7,sentiment leads,-0.0436,0.0414,-0.0314,0.1429,**
TVL level,8,sentiment leads,-0.0408,0.0563,-0.0281,0.1899,*
TVL level,9,sentiment leads,-0.0378,0.0773,-0.0244,0.2546,*
TVL level,10,sentiment leads,-0.0354,0.0982,-0.0214,0.3183,*
TVL level,11,sentiment leads,-0.0331,0.1221,-0.0184,0.3893,
TVL level,12,sentiment leads,-0.0307,0.1525,-0.0153,0.4756,
TVL level,13,sentiment leads,-0.0274,0.2013,-0.0113,0.5994,
TVL level,14,sentiment leads,-0.0246,0.251,-0.0076,0.7222,
ETH return,-14,target leads,0.1237,0.0,0.1221,0.0,***
